"192.168.1.0/24","/HGA Test Group/TestParentA"
"192.168.2.0/24","/HGA Test Group/TestParentA"
"192.168.3.0/24","/HGA Test Group/TestParentA"
"192.168.4.0/24","/HGA Test Group/TestParentA"
"192.168.5.0/24","/HGA Test Group/TestParentB"
"192.168.6.0/24","/HGA Test Group/TestParentB"
"192.168.7.0/24","/HGA Test Group/TestParentB/HGA Test Group/TestParentB"
"192.168.8.0/24","/HGA Test Group/TestParentB"
"192.168.8.0/24,10.10.10.0/24","/HGA Test Group/TestParentC"
"10.10.2.1,10.10.5.3,10.10.0.0/16","/HGA Test Group/TestParentC%2FD"
